<blank>, 6, 5593.0485260770965, 5593
IH1, 4, 5641.578231292516, 5641
T, 2, 5665.843083900226, 5665
S, 7, 5750.77006802721, 5750
W, 6, 5823.564625850339, 5823
IH1, 9, 5932.756462585034, 5932
NG, 9, 6041.948299319727, 6041
Z, 11, 6175.404988662131, 6175
AA1, 6, 6248.19954648526, 6248
R, 4, 6296.729251700679, 6296
T, 4, 6345.258956916098, 6345
UW1, 8, 6442.3183673469375, 6442
S, 21, 6697.099319727889, 6697
M, 12, 6842.688435374148, 6842
AO1, 8, 6939.747845804987, 6939
L, 8, 7036.807256235827, 7036
T, 10, 7158.131519274375, 7158
UW1, 7, 7243.058503401359, 7243
G, 5, 7303.7206349206335, 7303
EH1, 5, 7364.382766439908, 7364
T, 5, 7425.044897959182, 7425
IH1, 7, 7509.971882086166, 7509
T, 4, 7558.5015873015855, 7558
S, 5, 7619.16371882086, 7619
F, 5, 7679.825850340134, 7679
AE1, 7, 7764.752834467118, 7764
T, 6, 7837.547392290247, 7837
L, 8, 7934.606802721087, 7934
IH1, 7, 8019.533786848071, 8019
T, 6, 8092.3283446712, 8092
AH0, 4, 8140.8580498866195, 8140
L, 3, 8177.255328798184, 8177
B, 5, 8237.917460317458, 8237
AA1, 8, 8334.976870748296, 8334
D, 11, 8468.4335600907, 8468
IY0, 9, 8577.625396825393, 8577
AO1, 8, 8674.684807256232, 8674
F, 12, 8820.27392290249, 8820
DH, 9, 8929.465759637184, 8929
AH0, 6, 9002.260317460312, 9002
G, 4, 9050.790022675732, 9050
R, 4, 9099.319727891152, 9099
AW1, 7, 9184.246712018135, 9184
N, 15, 9366.233106575959, 9366
D, 13, 9523.954648526073, 9523
., 8, 9621.014058956911, 9621
<blank>, 7, 9705.941043083894, 9705
DH, 7, 9790.868027210878, 9790
AH0, 4, 9839.397732426298, 9839
B, 1, 9851.530158730153, 9851
IY1, 2, 9875.795011337863, 9875
,, 8, 9972.854421768701, 9972
AH1, 11, 10106.311111111105, 10106
V, 7, 10191.238095238088, 10191
K, 2, 10215.502947845798, 10215
AO1, 5, 10276.165079365073, 10276
R, 6, 10348.959637188202, 10348
S, 8, 10446.01904761904, 10446
,, 10, 10567.343310657589, 10567
F, 12, 10712.932426303847, 10712
L, 18, 10931.316099773234, 10931
AY1, 12, 11076.905215419492, 11076
Z, 9, 11186.097052154186, 11186
EH1, 18, 11404.480725623573, 11404
N, 11, 11537.937414965976, 11537
IY0, 13, 11695.65895691609, 11695
W, 8, 11792.718367346928, 11792
EY2, 5, 11853.380498866203, 11853
B, 7, 11938.307482993187, 11938
IH0, 16, 12132.426303854865, 12132
K, 8, 12229.485714285704, 12229
AO1, 4, 12278.015419501124, 12278
Z, 6, 12350.809977324252, 12350
B, 6, 12423.60453514738, 12423
IY1, 7, 12508.531519274364, 12508
Z, 8, 12605.590929705202, 12605
D, 10, 12726.91519274375, 12726
OW1, 10, 12848.239455782299, 12848
N, 7, 12933.166439909282, 12933
T, 8, 13030.22585034012, 13030
K, 4, 13078.755555555541, 13078
EH1, 5, 13139.417687074816, 13139
R, 7, 13224.3446712018, 13224
W, 10, 13345.668934240348, 13345
AH1, 14, 13515.522902494316, 13515
T, 11, 13648.97959183672, 13648
HH, 4, 13697.50929705214, 13697
Y, 6, 13770.303854875268, 13770
UW1, 4, 13818.833560090688, 13818
M, 6, 13891.628117913817, 13891
AH0, 7, 13976.5551020408, 13976
N, 6, 14049.349659863929, 14049
Z, 4, 14097.879365079349, 14097
TH, 5, 14158.541496598624, 14158
IH1, 6, 14231.336054421752, 14231
NG, 8, 14328.39546485259, 14328
K, 6, 14401.190022675719, 14401
IH1, 3, 14437.587301587284, 14437
Z, 6, 14510.381859410412, 14510
IH0, 6, 14583.17641723354, 14583
M, 6, 14655.970975056669, 14655
P, 5, 14716.633106575944, 14716
AA1, 5, 14777.29523809522, 14777
S, 7, 14862.222222222203, 14862
AH0, 11, 14995.678911564606, 14995
B, 10, 15117.003174603155, 15117
AH0, 6, 15189.797732426283, 15189
L, 5, 15250.459863945558, 15250
., 4, 15298.989569160978, 15298
<blank>, 6, 15371.784126984106, 15371
Y, 12, 15517.373242630365, 15517
EH1, 0, 15517.373242630365, 15517
L, 4, 15565.902947845785, 15565
OW0, 3, 15602.30022675735, 15602
,, 8, 15699.359637188189, 15699
B, 11, 15832.816326530592, 15832
L, 11, 15966.273015872996, 15966
AE1, 9, 16075.464852607689, 16075
K, 7, 16160.391836734672, 16160
,, 9, 16269.583673469366, 16269
Y, 13, 16427.305215419477, 16427
EH1, 10, 16548.629478458028, 16548
L, 14, 16718.483446711994, 16718
OW0, 24, 17009.66167800451, 17009
,, 7, 17094.588662131497, 17094
B, 8, 17191.648072562337, 17191
L, 9, 17300.839909297032, 17300
AE1, 7, 17385.766893424017, 17385
K, 6, 17458.561451247147, 17458
,, 9, 17567.753287981843, 17567
Y, 13, 17725.474829931954, 17725
EH1, 10, 17846.799092970505, 17846
L, 17, 18053.050340136037, 18053
OW0, 25, 18356.36099773241, 18356
,, 7, 18441.287981859394, 18441
B, 9, 18550.47981859409, 18550
